insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
34322,valflaunes,34270,valflaunes,43.801874888,3.862306734,hérault,34,occitanie,Occitanie
81268,st salvi de carcaves,81530,st salvi de carcaves,43.797455469,2.594874163,tarn,81,occitanie,Occitanie
34323,valmascle,34800,valmascle,43.600088405,3.300204035,hérault,34,occitanie,Occitanie
81273,saix,81710,saix,43.583954983,2.171148383,tarn,81,occitanie,Occitanie
34325,valros,34290,valros,43.419355088,3.3612881850000003,hérault,34,occitanie,Occitanie
81274,salies,81990,salies,43.886104573,2.133263252,tarn,81,occitanie,Occitanie
34328,vendemian,34230,vendemian,43.578899945,3.562975138,hérault,34,occitanie,Occitanie
81280,le segur,81640,le segur,44.107880383,2.062802423,tarn,81,occitanie,Occitanie
34336,villeneuve les beziers,34500,villeneuve les beziers,43.317205211,3.28983071,hérault,34,occitanie,Occitanie
81282,senaux,81530,senaux,43.765757342,2.615699185,tarn,81,occitanie,Occitanie
34338,villeneuvette,34800,villeneuvette,43.610602767,3.401420373,hérault,34,occitanie,Occitanie
81286,servies,81220,servies,43.664963985,2.032135183,tarn,81,occitanie,Occitanie
34339,villespassans,34360,villespassans,43.382209463,2.911374465,hérault,34,occitanie,Occitanie
81290,souel,81170,souel,44.035256633,1.962273651,tarn,81,occitanie,Occitanie
34343,viols le fort,34380,viols le fort,43.736585303,3.691653268,hérault,34,occitanie,Occitanie
81291,taix,81130,taix,44.010078124,2.11979153,tarn,81,occitanie,Occitanie
81294,tecou,81600,tecou,43.843081863,1.935564467,tarn,81,occitanie,Occitanie
81297,terssac,81150,terssac,43.922354027,2.070134787,tarn,81,occitanie,Occitanie
81306,valderies,81350,valderies,44.018642537,2.231717712,tarn,81,occitanie,Occitanie
82002,albias,82350,albias,44.081453454,1.44893286,tarn-et-garonne,82,occitanie,Occitanie
82003,angeville,82210,angeville,43.993875887,1.031296022,tarn-et-garonne,82,occitanie,Occitanie
82008,auvillar,82340,auvillar,44.058674782,0.887457386,tarn-et-garonne,82,occitanie,Occitanie
82010,bardigues,82340,bardigues,44.030040044,0.891353385,tarn-et-garonne,82,occitanie,Occitanie
82013,beaumont de lomagne,82500,beaumont de lomagne,43.876879865,1.010390596,tarn-et-garonne,82,occitanie,Occitanie
82015,belbeze en lomagne,82500,belbeze en lomagne,43.905716135,1.06947496,tarn-et-garonne,82,occitanie,Occitanie
82023,bourret,82700,bourret,43.943902859,1.156614874,tarn-et-garonne,82,occitanie,Occitanie
82025,bressols,82710,bressols,43.954408803,1.316462679,tarn-et-garonne,82,occitanie,Occitanie
82028,canals,82170,canals,43.860129012,1.298897585,tarn-et-garonne,82,occitanie,Occitanie
82041,cazals,82140,cazals,44.124811397,1.685352497,tarn-et-garonne,82,occitanie,Occitanie
82043,comberouger,82600,comberouger,43.871614847,1.093184639,tarn-et-garonne,82,occitanie,Occitanie
82047,cumont,82500,cumont,43.871406038,0.902741637,tarn-et-garonne,82,occitanie,Occitanie
82056,espinas,82160,espinas,44.197415302,1.7651186330000002,tarn-et-garonne,82,occitanie,Occitanie
82068,gimat,82500,gimat,43.865556109,0.939567542,tarn-et-garonne,82,occitanie,Occitanie
82074,gramont,82120,gramont,43.942692375,0.7878334640000001,tarn-et-garonne,82,occitanie,Occitanie
82076,l honor de cos,82130,l honor de cos,44.116835367,1.357246582,tarn-et-garonne,82,occitanie,Occitanie
82084,lacour,82190,lacour,44.285263858,0.964647406,tarn-et-garonne,82,occitanie,Occitanie
82090,lamothe capdeville,82130,lamothe capdeville,44.093622177,1.390150256,tarn-et-garonne,82,occitanie,Occitanie
82104,marsac,82120,marsac,43.941576522,0.829756099,tarn-et-garonne,82,occitanie,Occitanie
82108,meauzac,82290,meauzac,44.095357499,1.230573713,tarn-et-garonne,82,occitanie,Occitanie
82110,mirabel,82440,mirabel,44.142616484,1.411426059,tarn-et-garonne,82,occitanie,Occitanie
82114,monbequi,82170,monbequi,43.891497678,1.232029994,tarn-et-garonne,82,occitanie,Occitanie
82117,montaigu de quercy,82150,montaigu de quercy,44.340900597,1.032400926,tarn-et-garonne,82,occitanie,Occitanie
82123,montbartier,82700,montbartier,43.914740193,1.286076903,tarn-et-garonne,82,occitanie,Occitanie
82124,montbeton,82290,montbeton,44.013487619,1.270433758,tarn-et-garonne,82,occitanie,Occitanie
82127,montesquieu,82200,montesquieu,44.179023694,1.062485589,tarn-et-garonne,82,occitanie,Occitanie
82131,montpezat de quercy,82270,montpezat de quercy,44.24003344,1.473346576,tarn-et-garonne,82,occitanie,Occitanie
82135,nohic,82370,nohic,43.888269752,1.438147675,tarn-et-garonne,82,occitanie,Occitanie
82137,parisot,82160,parisot,44.261999977,1.866175415,tarn-et-garonne,82,occitanie,Occitanie
82140,piquecos,82130,piquecos,44.104810816,1.316219231,tarn-et-garonne,82,occitanie,Occitanie
82147,puylagarde,82160,puylagarde,44.306310337,1.846378778,tarn-et-garonne,82,occitanie,Occitanie
82150,reynies,82370,reynies,43.926306708,1.414674398,tarn-et-garonne,82,occitanie,Occitanie
82152,st aignan,82100,st aignan,44.021177508,1.072787542,tarn-et-garonne,82,occitanie,Occitanie
82156,st arroumex,82210,st arroumex,43.991806227,0.989277142,tarn-et-garonne,82,occitanie,Occitanie
82159,st cirq,82300,st cirq,44.134966692,1.605606457,tarn-et-garonne,82,occitanie,Occitanie
82160,st clair,82400,st clair,44.152948105,0.94318921,tarn-et-garonne,82,occitanie,Occitanie
82165,st loup,82340,st loup,44.083403629,0.852489979,tarn-et-garonne,82,occitanie,Occitanie
82171,st porquier,82700,st porquier,44.008016889,1.182471067,tarn-et-garonne,82,occitanie,Occitanie
82172,st projet,82160,st projet,44.311187665,1.770596484,tarn-et-garonne,82,occitanie,Occitanie
82173,st sardos,82600,st sardos,43.90233485,1.124320635,tarn-et-garonne,82,occitanie,Occitanie
82181,sistels,82340,sistels,44.053296965,0.783098473,tarn-et-garonne,82,occitanie,Occitanie
82190,verdun sur garonne,82600,verdun sur garonne,43.849328871,1.227917186,tarn-et-garonne,82,occitanie,Occitanie
81005,albine,81240,albine,43.444223338,2.527445115,tarn,81,occitanie,Occitanie
81008,almayrac,81190,almayrac,44.099234259,2.156031934,tarn,81,occitanie,Occitanie
81009,amarens,81170,amarens,44.043629372,1.920804586,tarn,81,occitanie,Occitanie
81010,ambialet,81430,ambialet,43.926612188,2.375769232,tarn,81,occitanie,Occitanie
81011,ambres,81500,ambres,43.728624217,1.831538189,tarn,81,occitanie,Occitanie
81013,andouque,81350,andouque,44.008089131,2.30274435,tarn,81,occitanie,Occitanie
81014,angles,81260,angles,43.550734683,2.582555705,tarn,81,occitanie,Occitanie
81016,arfons,81110,arfons,43.424306581,2.189383773,tarn,81,occitanie,Occitanie
81024,beauvais sur tescou,81630,beauvais sur tescou,43.897563757,1.57238442,tarn,81,occitanie,Occitanie
81027,belleserre,81540,belleserre,43.489901381,2.05988865,tarn,81,occitanie,Occitanie
81032,blan,81700,blan,43.519733976,2.022606421,tarn,81,occitanie,Occitanie
81034,boissezon,81490,boissezon,43.572354897,2.405714086,tarn,81,occitanie,Occitanie
81045,les cabannes,81170,les cabannes,44.074867594,1.928897083,tarn,81,occitanie,Occitanie
81051,cahuzac sur vere,81140,cahuzac sur vere,43.986592609,1.915369304,tarn,81,occitanie,Occitanie
81055,les cammazes,81540,les cammazes,43.411168792,2.078144753,tarn,81,occitanie,Occitanie
81058,carbes,81570,carbes,43.635388538,2.152511117,tarn,81,occitanie,Occitanie
81061,castanet,81150,castanet,43.973672721,2.036097207,tarn,81,occitanie,Occitanie
81062,fontrieu,81260,fontrieu,43.658543298,2.531106926,tarn,81,occitanie,Occitanie
81063,castelnau de levis,81150,castelnau de levis,43.943583722,2.071470603,tarn,81,occitanie,Occitanie
81073,crespinet,81350,crespinet,43.954633349,2.295592334,tarn,81,occitanie,Occitanie
81088,fauch,81120,fauch,43.83928293,2.258492746,tarn,81,occitanie,Occitanie
81104,giroussens,81500,giroussens,43.770051981,1.796299574,tarn,81,occitanie,Occitanie
81116,labastide st georges,81500,labastide st georges,43.699530255,1.844991748,tarn,81,occitanie,Occitanie
81117,labessiere candeil,81300,labessiere candeil,43.799799614,1.991488385,tarn,81,occitanie,Occitanie
81118,laboulbene,81100,laboulbene,43.665945778,2.2034382,tarn,81,occitanie,Occitanie
81127,lacroisille,81470,lacroisille,43.580585938,1.928636537,tarn,81,occitanie,Occitanie
81132,guitalens l albarede,81220,guitalens l albarede,43.637847287,2.043783196,tarn,81,occitanie,Occitanie
81133,lamillarie,81120,lamillarie,43.854777615,2.157743288,tarn,81,occitanie,Occitanie
81137,lasfaillades,81260,lasfaillades,43.56323737,2.500203866,tarn,81,occitanie,Occitanie
81144,lescure d albigeois,81380,lescure d albigeois,43.965555042,2.182157399,tarn,81,occitanie,Occitanie
81145,lisle sur tarn,81310,lisle sur tarn,43.897682598,1.781774687,tarn,81,occitanie,Occitanie
81154,marnaves,81170,marnaves,44.095900305,1.872337737,tarn,81,occitanie,Occitanie
81166,milhavet,81130,milhavet,44.032383259,2.027163637,tarn,81,occitanie,Occitanie
81171,montans,81600,montans,43.85034111,1.866612386,tarn,81,occitanie,Occitanie
81175,montdurausse,81630,montdurausse,43.952429478,1.593805547,tarn,81,occitanie,Occitanie
81176,montels,81140,montels,43.96503417,1.886813438,tarn,81,occitanie,Occitanie
81177,montfa,81210,montfa,43.699839604,2.230094248,tarn,81,occitanie,Occitanie
81192,murat sur vebre,81320,murat sur vebre,43.69352539,2.860553903,tarn,81,occitanie,Occitanie
81197,noailles,81170,noailles,44.012366262,1.990319466,tarn,81,occitanie,Occitanie
81201,pampelonne,81190,pampelonne,44.115706002,2.242958261,tarn,81,occitanie,Occitanie
81207,peyregoux,81440,peyregoux,43.701141558,2.195511076,tarn,81,occitanie,Occitanie
81211,poulan pouzols,81120,poulan pouzols,43.858007982,2.107719367,tarn,81,occitanie,Occitanie
81214,puechoursi,81470,puechoursi,43.514290677,1.906938944,tarn,81,occitanie,Occitanie
81222,realmont,81120,realmont,43.779577305,2.190114655,tarn,81,occitanie,Occitanie
81229,roquevidal,81470,roquevidal,43.622734847,1.860706255,tarn,81,occitanie,Occitanie
81230,rosieres,81400,rosieres,44.041182701,2.197527047,tarn,81,occitanie,Occitanie
81238,st amans soult,81240,st amans soult,43.464793912,2.477100227,tarn,81,occitanie,Occitanie
81245,st christophe,81190,st christophe,44.152616563,2.04408524,tarn,81,occitanie,Occitanie
81249,ste gemme,81190,ste gemme,44.088582429,2.196311257,tarn,81,occitanie,Occitanie
81254,st jean de marcel,81350,st jean de marcel,44.056660714,2.249497365,tarn,81,occitanie,Occitanie
81257,st juery,81160,st juery,43.939285111,2.224717018,tarn,81,occitanie,Occitanie
